row_id,num_sold
22297,493
22298,121
22299,379
22300,864
22301,214
22319,214
22318,862
22317,379
22316,121
22315,493
22314,223
22313,340
22311,591
22312,1298
22309,760
22310,189
22303,444
22304,110
22305,337
22302,197
22307,193
22308,329
22306,784
22331,339
22337,214
22336,863
22335,380
22334,122
22333,495
22332,224
22329,589
22330,1292
22327,758
22321,444
22322,110
22323,337
22320,197
22325,193
22326,327
22324,784
22328,189
22355,215
22347,587
22354,865
22353,381
22352,122
22351,497
22350,225
22349,338
22348,1286
22346,188
22344,326
22343,193
22342,788
22341,338
22340,110
22339,445
22338,197
22345,755
22367,337
22368,225
22369,499
22373,215
22371,382
22372,869
22366,1281
22370,122
22365,585
22357,445
22363,751
22362,324
22361,192
22360,792
22359,338
22358,110
22364,188
22356,198
22390,875
22389,383
22388,121
22387,500
22386,226
22385,336
22384,1274
22383,582
22391,216
22381,749
22374,198
22375,446
22376,110
22382,187
22378,797
22379,193
22380,323
22377,339
22401,578
22408,882
22407,385
22406,121
22405,502
22404,227
22403,334
22402,1271
22409,216
22400,187
22398,323
22397,193
22396,799
22395,339
22394,110
22393,446
22392,199
22399,749
22421,331
22427,217
22426,888
22425,386
22424,121
22423,505
22422,227
22419,575
22420,1289
22417,750
22411,447
22412,109
22413,340
22410,199
22415,194
22416,324
22418,186
22414,797
22438,1319
22444,893
22443,387
22442,121
22441,509
22440,227
22439,329
22437,571
22445,217
22435,750
22428,199
22429,449
22430,108
22436,185
22432,796
22433,194
22434,325
22431,340
22455,577
22462,851
22461,371
22460,124
22459,494
22458,223
22457,336
22456,1242
22463,209
22454,195
22452,326
22451,195
22450,783
22449,346
22448,112
22447,446
22446,204
22453,735
22474,1239
22480,850
22479,371
22478,124
22477,493
22476,223
22475,337
22473,577
22481,210
22471,734
22464,204
22465,445
22466,112
22472,195
22468,782
22469,195
22470,326
22467,344
22499,210
22498,849
22497,372
22496,124
22495,491
22494,222
22492,1236
22491,577
22493,338
22489,732
22482,203
22483,444
22484,113
22490,194
22486,780
22487,195
22488,325
22485,343
22509,576
22516,847
22515,373
22514,124
22513,490
22512,222
22511,338
22510,1233
